hotel_uid,review_uid,additional_scoring,flag_processed,flag_validated,negative_review,negative_review_words,positive_review,positive_review_words,reviewer_nationality,reviewer_reviews_count,reviewer_score
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,dd406e00-2b2b-11b2-8080-808080808080,409,,,No Negative,0, Brilliant front desk staff Helpful beyond expectation ,9, Saint Lucia ,9,10.0
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,0dc41600-2b2a-11b2-8080-808080808080,409,,, Their was an v bad smell as we came out of the lift and all down the hallway damp,20,No Positive,0, United Kingdom ,1,6.3
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,68d38600-2b22-11b2-8080-808080808080,409,,,No Negative,0, Superb location Tube literally minutes away All main attractions within 5 10 minutes walk Beautiful hotel inside Received a free bottle of wine and goodies in my room on arrival Very nice hotel ,35, United Kingdom ,1,8.3
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,b2a2af00-2b0d-11b2-8080-808080808080,409,,,No Negative,0, Great location nice bedrooms and super friendly staff ,10, United Kingdom ,6,8.3
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,0f301700-2b07-11b2-8080-808080808080,409,,, Ironing facilities which were one of the reason to choose The Grand among the similar hotels in the area are not really a part of room facilities they are shared Not a big issue but requires a bit of an extra arrangement The room we booked standard queen room was rather dark and with a strange smell didn t feel right for that class of the hotel Staff were very nice We were offered to change to a brighter but smaller room without a safe box and mini bar Not sure if it was a fair exchange but at the end we jury s enjoyed the location a lot ,111, Location It s perfect for a short trip to London close to basically all the city highlights ,19, United Kingdom ,15,7.5
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,6d3b7700-2b01-11b2-8080-808080808080,409,,,No Negative,0, the location the helpfulness of the staff we liked everything about the hotel,14, United Kingdom ,8,10.0
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,c02db600-2af5-11b2-8080-808080808080,409,,, Arrogant receptionists dark rooms with a window facing an outside wall squeeky floors old doors the integrated bathrooms units with side walls not connected to the ceiling,28, The bistro nice and friendly staff The receptionist who took over and changed my room immediately,17, Cyprus ,6,5.8
bf9bc8ac-c2aa-4835-b3d5-1499605d65fc,4d3ec600-2aed-11b2-8080-808080808080,409,,, Breakfast was a silly price but there is a very nice place within 50yds that is half the price ,21, Stylish accommodation in a very central situation ,9, United Kingdom ,3,9.2
4f7f0c34-122b-4d8d-8bc2-8654e1be1a1f,77b3de00-2b71-11b2-8080-808080808080,153,,, The madras was a bit sunken ,8, The breakfast had all you can imagine and more Fantastic,11, Israel ,2,8.3
4f7f0c34-122b-4d8d-8bc2-8654e1be1a1f,0334ff00-2b44-11b2-8080-808080808080,153,,,No Negative,0, Great location Great staff and great breakfast Will stay here again,12, India ,16,9.6
4f7f0c34-122b-4d8d-8bc2-8654e1be1a1f,122c0700-2b09-11b2-8080-808080808080,153,,,No Negative,0, Very close to the centre comfortable room excellent breakfast nice and polite waiters and receptionists ,17, Croatia ,8,9.6
4f7f0c34-122b-4d8d-8bc2-8654e1be1a1f,a830e700-2b06-11b2-8080-808080808080,153,,, Everything was fine,4, This hotel is in a great position right in the center of town The hotel staff are very friendly and extremely helpful ,24, France ,14,8.8
4f7f0c34-122b-4d8d-8bc2-8654e1be1a1f,6eb96f00-2b02-11b2-8080-808080808080,153,,,No Negative,0, We have used this hotel before and the location is excellent ,13, United Kingdom ,1,8.3
d35378c5-5e3e-45c9-92ff-cb2540e3b642,13b09e00-2b73-11b2-8080-808080808080,167,,, A slight mix up on a booking request,9, Beautiful room comfy bed good air con and reception smelt amazing,12, United Kingdom ,15,9.2
d35378c5-5e3e-45c9-92ff-cb2540e3b642,ec0ecf00-2b56-11b2-8080-808080808080,167,,, The breakfast in the hotel is expensive and they dont replace the empty tissu box,16, Everything was excellent the room very comfortable and the hotel quite and clean The staff very kind and speak english,21, Saudi Arabia ,1,8.8
d35378c5-5e3e-45c9-92ff-cb2540e3b642,2dcc1f00-2af9-11b2-8080-808080808080,167,,, Hotel is narrow so reception area tad cramped the cafe area looked a bit naff but overall a very good spot to explore the city,26, Location is ideal for exploring the city it is less than 50m from Urgell metro Breakfast very decent modern interior good proportions in room best shower at any hotel as good as home Staff efficient and friendly enough It is advisable to check whether you hv natural light as hotel is attached to other buildings we fortunately had an albeit shabby view unimportant at back of hotel ,69, Italy ,5,7.9
22d30cdc-1d17-46cf-8386-eef1b9701d06,4d336e00-2b32-11b2-8080-808080808080,337,,,No Negative,0, Location And toilet ,5, Saudi Arabia ,12,8.8
22d30cdc-1d17-46cf-8386-eef1b9701d06,ba188700-2b12-11b2-8080-808080808080,337,,, Booked a Queen room and the bed was separated upon arrival Had to call the front desk and housekeeper had to come and make bed into a queen These things should be done before guest arrives No wifi for the last couple of days This is a non smoking hotel yet there would be cigarette smell coming through the ventilation system several times a day making the whole room smell like an ash tray I was expecting more from a hotel with this caracter ,86, Nice staff Very helpful when we asked questions or needed anything ,13, Norway ,1,7.1
22d30cdc-1d17-46cf-8386-eef1b9701d06,acc81e00-2ae8-11b2-8080-808080808080,337,,, Rooms with a view were too small and really expensive during high season The bigger rooms were either facing a wall or another window The rooms with a view were too confining and needed some up keeping ,39,No Positive,0, United States of America ,2,7.1
52903283-f3e7-44d7-9fc6-51ba367e3451,093ed600-2b6c-11b2-8080-808080808080,326,,, N A,3, Loved the room very spacious comfortable and quiet Balcony gave a lovely spot to have a morning cuppa Staff very helpful especially Paul the concierge as we were expecting some tickets and he delivered them to us personally Amazing to see the Chelsea team leaving for the match an added bonus we weren t expecting Food also excellent along with the service ,64, United Kingdom ,2,10.0
52903283-f3e7-44d7-9fc6-51ba367e3451,04c4ee00-2b69-11b2-8080-808080808080,326,,,No Negative,0, Lovely quiet location but near everything we wanted,9, United Kingdom ,1,9.6
52903283-f3e7-44d7-9fc6-51ba367e3451,62d04e00-2b63-11b2-8080-808080808080,326,,,No Negative,0, Brilliant Size Room Good Public Transport Options Bus Overground Excellent Facilities ,13, United Kingdom ,4,10.0
52903283-f3e7-44d7-9fc6-51ba367e3451,dba52700-2b4b-11b2-8080-808080808080,326,,, Our meal in the restaurant wasn t 5 star the bedroom was dark ,15, A suite for the same cost as a small room in Knightsbridge,13, United Kingdom ,12,8.8
52903283-f3e7-44d7-9fc6-51ba367e3451,afa6bf00-2b0b-11b2-8080-808080808080,326,,,No Negative,0, The room was beautiful and the staff very friendly and helpful,12, Australia ,1,9.2
52903283-f3e7-44d7-9fc6-51ba367e3451,3541f700-2afe-11b2-8080-808080808080,326,,, We were moved to an inferior hotel with no notice,11,No Positive,0, United Kingdom ,7,2.5
24d3ab38-b69d-4d60-a018-9cdb1751ccbe,0f36b600-2b70-11b2-8080-808080808080,43,,, No lift and no help with very heavy suitcase I packed for 7 weeks of different weather so needed more than usual I did not buy the breakfast as it was too expensive and could get less food for less money elsewhere ,44, It was hot at night I asked for just a sheet instead of the comforter which was way too hot Wonderful location,23, United States of America ,4,7.1
24d3ab38-b69d-4d60-a018-9cdb1751ccbe,68c82e00-2b67-11b2-8080-808080808080,43,,, Room service ,4, One of best hotelles I ve ever stayed at Very good memories and the staff are very friendly The general manager is very respectful and friendly man I had a quite brother brother talk with him Definitely this hotel is recommended ,43, Denmark ,4,7.9
24d3ab38-b69d-4d60-a018-9cdb1751ccbe,cc121e00-2b42-11b2-8080-808080808080,43,,, no elevators but still okay ,7, it was an excellent choice we all like the comfy bed the breakfast and very accommodating staff ,19, United Arab Emirates ,2,10.0
24d3ab38-b69d-4d60-a018-9cdb1751ccbe,f81bde00-2b3d-11b2-8080-808080808080,43,,, No lift to carry our bags up to the 2nd floor ,13, The whole atmosphere The location The staff ,9, Italy ,9,7.9
24d3ab38-b69d-4d60-a018-9cdb1751ccbe,8b24ce00-2b39-11b2-8080-808080808080,43,,,No Negative,0, Cosy room Nice to be able to get a single room ,13, Sweden ,4,7.1
c93ca270-6f19-4881-b464-174ead838f68,fb17ce00-2b3f-11b2-8080-808080808080,69,,, No complimentary items such as water tea coffee ,10, Clean great staff spacious,5, United Kingdom ,3,7.9
534cdc46-0f02-4080-a313-e9a4839d4cc0,12495600-2ae8-11b2-8080-808080808080,99,,, The the AC unit did not work The weather was very hot and humid this made it miserable to sleep some times,23, The staff was friendly and helpful most of the time,11, United States of America ,1,4.2
53289849-28c9-4c7f-b655-da798ef15497,2a002f00-2b5e-11b2-8080-808080808080,62,,,No Negative,0, The staff were really friendly and the location was great There were lots of local bars and resturants It didn t feel like you were in the middle of a tourist trap The nearest landmark was about a 18 min walk away down some lovely streets Or a 9 min run Perfect hotel Perfect weekend ,57, United Kingdom ,1,9.6
8df7de9f-c421-431d-9398-2f9faa262518,65079600-2b87-11b2-8080-808080808080,42,,, Room space and bed quality,6, Location,2, Indonesia ,13,7.5
8df7de9f-c421-431d-9398-2f9faa262518,36bfef00-2aff-11b2-8080-808080808080,42,,,No Negative,0, Great location,3, Finland ,26,7.1
3840538e-457d-44cf-b3a1-f4360c904008,2cfc1f00-2b60-11b2-8080-808080808080,298,,, Service at breakfast,4, Great location the pool ,6, Germany ,101,8.8
3840538e-457d-44cf-b3a1-f4360c904008,8f816700-2b5d-11b2-8080-808080808080,298,,, Almost Nothing ,4, Good Job by Management and staff Much improvement than a couple of years ,15, Saudi Arabia ,6,10.0
3840538e-457d-44cf-b3a1-f4360c904008,50120f00-2b55-11b2-8080-808080808080,298,,,No Negative,0, great location quiet rooms quite spacious spa area breakfast is fine but not super good internet old center at walking distance,22, Belgium ,24,9.2
3840538e-457d-44cf-b3a1-f4360c904008,151c9f00-2b50-11b2-8080-808080808080,298,,,No Negative,0, The hotel was only 850 m from Milano Central Railway station however the walking there was not too comfortable because of the uneven sidewalks The hotel itself was very good nice comfortable room nice bathroom Unfortunately we did not have time to enjoy the swimming pool or other attractions ,51, Poland ,14,9.2
3840538e-457d-44cf-b3a1-f4360c904008,74a5f700-2b4b-11b2-8080-808080808080,298,,, The parking charge was a little expensive ,9, The location to city center was great ,9, South Korea ,5,9.6
3840538e-457d-44cf-b3a1-f4360c904008,83aef600-2b34-11b2-8080-808080808080,298,,, We booked a family room and we re given 2 rooms with adjoining door and it was not possible to bolt the main door from the inside not what we asked for ,34, Location and recommended great restaurant although directions were not correct we found it,14, United Kingdom ,3,7.1
3840538e-457d-44cf-b3a1-f4360c904008,473b8e00-2b2e-11b2-8080-808080808080,298,,, nothing,2, Every thing and this hotel even has a swimming pool,11, Australia ,9,9.2
3840538e-457d-44cf-b3a1-f4360c904008,793d2e00-2b2d-11b2-8080-808080808080,298,,,No Negative,0, Very close to the metro the pool and gym were also very good ,15, United Kingdom ,6,8.8
3840538e-457d-44cf-b3a1-f4360c904008,ce54be00-2b21-11b2-8080-808080808080,298,,, Rooms are in dire need of upgrading ,9, Amenities we liked most were the airport shuttle service and the full breakfast Staff was friendly and helpful ,20, United States of America ,29,8.3
3840538e-457d-44cf-b3a1-f4360c904008,15454600-2aea-11b2-8080-808080808080,298,,,No Negative,0, Very busy hotel with parking Right next to the metro Staff was pleasant and helpful Comfortable rooms and bathrooms ,21, Germany ,21,8.8
e9530742-23bb-446c-b533-c23b715acdb1,d73d3600-2b6c-11b2-8080-808080808080,78,,, Nothing,2, This hotel is in an great location on the Left Bank but just a short walk over the bridge to Notre Dame Located in a quiet street but right near the intersection of Bvd Saint Germain and Bvd Saint Michel The Louvre and Musee d Orsay are within a comfortable 25 minute walk Lots of restaurants and bars nearby although many are very touristy The property appears to have been renovated recently and the facilities are very modern Whilst I know from looking at the rooms plan for the hotel that not all accommodations are created equal our room number 50 was extremely spacious and comfortable Rates on Booking com reasonable by expensive Paris standards Staff were excellent especially Carolina who worked hard to get us access to our room after an early morning arrival from Australia ,139, Australia ,34,9.2
e9530742-23bb-446c-b533-c23b715acdb1,093ed600-2b6c-11b2-8080-808080808080,78,,, As usual the rooms are small as are most hotel rooms in Europe ,15, The property is conveniently located near Place San Michel and its subway station Also near many restaurants Notre Dame and Orsay Museum Great staff who were very helpful ,30, United States of America ,9,9.6
e9530742-23bb-446c-b533-c23b715acdb1,af9b6700-2b50-11b2-8080-808080808080,78,,, Everything was great as far as hotel is concerned The surrounding Latin Quarter has become a run down tourist trap but the hotel is a nice oasis in the midst of it all ,35, Fantastic location for going around central Paris Very comfortable and clean hotel with helpful staff Decent price for central Paris also ,23, United Kingdom ,10,8.3
e9530742-23bb-446c-b533-c23b715acdb1,c61a3e00-2b3e-11b2-8080-808080808080,78,,, Wifi was a little bit spotty ,8, Lovely hotel in excellent location only 3 min walk from RER B C St Michel Notre Dame station and Metro 10 Cluny la Sorbonne station Just behind the restaurant street of St Michel but in a quiet street ,40, Netherlands ,54,8.8
e9530742-23bb-446c-b533-c23b715acdb1,1b31ce00-2b33-11b2-8080-808080808080,78,,, Poor wifi connection ,5,No Positive,0, Taiwan ,4,7.5
e9530742-23bb-446c-b533-c23b715acdb1,965b3e00-2b1e-11b2-8080-808080808080,78,,, very small rooms,4, Friendly staff good location,5, United Kingdom ,13,7.9
e9530742-23bb-446c-b533-c23b715acdb1,c264fe00-2b19-11b2-8080-808080808080,78,,,No Negative,0, Clean comfortable room near everything via metro or RER Great location in Latin Quarter ,16, United States of America ,5,9.2
e9530742-23bb-446c-b533-c23b715acdb1,f2e8a600-2b17-11b2-8080-808080808080,78,,, N A,3, The reception staff were very welcoming and professional throughout our stay Location simply perfect for a weekend in Paris We will certainly be returning ,26, United Kingdom ,5,9.2
e9530742-23bb-446c-b533-c23b715acdb1,ee7a1600-2acf-11b2-8080-808080808080,78,,, Dirty towels wrappings from previous guest under the bed Power sockets and towel heater not working Shower leaks Tiny lift bad smell in the reception area ,28, The location s great Some of the staff members are super nice Breakfast s modest but good ,19, United Kingdom ,7,5.4
c35598ea-97fa-4d69-80a0-7878342aef92,b5a53e00-2b78-11b2-8080-808080808080,20,,,No Negative,0, Very clean comfortable hotel with accommodating friendly staff beds were very comfortable and the decor was lovely ,19, United Kingdom ,2,10.0
8f356fd5-50ad-4b6c-bdff-28bcf3227164,5c13c600-2b81-11b2-8080-808080808080,220,,,No Negative,0, Quite small rooms although beautifully appointed,7, Australia ,5,10.0
8f356fd5-50ad-4b6c-bdff-28bcf3227164,3cbe6e00-2b6c-11b2-8080-808080808080,220,,,No Negative,0, Very comfortable bed and pillows but room rather small although very well appointed ,15, United Kingdom ,3,9.2
8f356fd5-50ad-4b6c-bdff-28bcf3227164,5905df00-2b5b-11b2-8080-808080808080,220,,,No Negative,0, All,2, Israel ,10,10.0
8f356fd5-50ad-4b6c-bdff-28bcf3227164,b2975700-2b52-11b2-8080-808080808080,220,,, Room was exceptionally small no room to even put 2 suitcases so for a couple too small to even move around each other Should have upgraded the room and paid a bit extra ,35, Staff exceptionally nice and helpful Hotel beautiful and nicely done ,12, United States of America ,4,7.1
8f356fd5-50ad-4b6c-bdff-28bcf3227164,42a45700-2b4c-11b2-8080-808080808080,220,,, Nothing at all ,5, We had a very busy time in London and didn t have any time to enjoy the hotel facilities but we really loved the very comfortable bed and pillows Looking forward to having a longer stay next time ,40, Spain ,29,9.6
8f356fd5-50ad-4b6c-bdff-28bcf3227164,01b70700-2b43-11b2-8080-808080808080,220,,, Room somewhat cramped,4, Bed is comfy,4, Singapore ,1,8.3
8f356fd5-50ad-4b6c-bdff-28bcf3227164,2e976600-2b40-11b2-8080-808080808080,220,,, Staff were a mixed bag to be honest On arriving back at the hotel after night out we couldn t get into our rooms as the system had advised we d checked out I was then questioned and queried by the night staff and made to feel like it was my problem and not the hotel s I had to wait over 20 minutes for keys to be re programmed to gain entry to the room Not much sympathy from the Duty Manager the next day This was the only bad thing but did leave a cloud over our stay The lady that we checked in with and checked out with however was a delight ,117,No Positive,0, United Kingdom ,3,7.5
8f356fd5-50ad-4b6c-bdff-28bcf3227164,5d9d1600-2b3d-11b2-8080-808080808080,220,,, Rooms really are tiny no space to even put a suitcase Staff were overstretched in the evenings The lounge area is always full of non residents making use of the afternoon tea service When checking in the full accommodation and extras cost was reserved on my credit card When I checked out I was told the hold would remain for 10 days company policy the standard excuse Unacceptable ,70, Great location and very lovely contemporary hotel Staff very accommodating and helpful ,14, United Kingdom ,18,7.1
8f356fd5-50ad-4b6c-bdff-28bcf3227164,2129ae00-2b37-11b2-8080-808080808080,220,,, Sized double bed,4, Decor and amenities in room such as juices soda and water ,13, Brazil ,1,9.2
8f356fd5-50ad-4b6c-bdff-28bcf3227164,7abb2600-2b2e-11b2-8080-808080808080,220,,, Had issues with A C not working not usual for London on a hot day making sleeping near impossible but was resolved satisfactorily the following day,27,No Positive,0, United States of America ,1,8.8
8f356fd5-50ad-4b6c-bdff-28bcf3227164,c264fe00-2b19-11b2-8080-808080808080,220,,, Wardrobe space rather limited,5, Excellent location over road from South Kensington station Comfortable well appointed rooms Very helpful and friendly staff ,19, Australia ,1,9.2
8f356fd5-50ad-4b6c-bdff-28bcf3227164,80a10f00-2b0e-11b2-8080-808080808080,220,,, Didn t bother me but you can faintly hear the underground trains in first floor rooms,17, Lovely original breakfast Excellent wifi,6, Switzerland ,13,9.6
8f356fd5-50ad-4b6c-bdff-28bcf3227164,36bfef00-2aff-11b2-8080-808080808080,220,,, Lots of dust on the furniture lights,8, Friendly helpful staff Tasty breakfast ,7, United Arab Emirates ,1,7.1
8f356fd5-50ad-4b6c-bdff-28bcf3227164,bd31c600-2af3-11b2-8080-808080808080,220,,, Waiters were a bit arrogant ,7, This hotel has an arty vibe with each room themed We were in the piano room which meant musical note wall paper Very comfy beds The walls in the foyer area are reminiscent of the natural history museum which is around the corner There s a cafe and library downstairs A cool fresh little botique hotel in the heart of south ken ,64, Australia ,1,8.8
8f356fd5-50ad-4b6c-bdff-28bcf3227164,54b49e00-2af2-11b2-8080-808080808080,220,,, Strange smell of chemical cleaning products after the rooms had been cleaned A very strong smell Are you using some sort of Fume Sanitiser ,26, The most comfortable bed i have ever slept in,10, United Kingdom ,1,10.0
8f356fd5-50ad-4b6c-bdff-28bcf3227164,b739e600-2aef-11b2-8080-808080808080,220,,, You can hear feel the train as it passes under the Hotel,13, Location to the Underground and Bus,7, United States of America ,5,7.1
8f356fd5-50ad-4b6c-bdff-28bcf3227164,16c33e00-2aeb-11b2-8080-808080808080,220,,, The single room is far too small ,9, The excellent location ,5, Singapore ,15,8.3
65adb650-b62c-445c-8795-81cd77180953,3fa86700-2b4a-11b2-8080-808080808080,95,,, Hotel was a little overheated ,7, Location of hotel was excellent and the hotel was excellent value for money Staff were very pleasant and rooms were nice ,23, Ireland ,1,9.2
65adb650-b62c-445c-8795-81cd77180953,54b49e00-2af2-11b2-8080-808080808080,95,,,No Negative,0, Close to tourist sites transport and cafes restauran,9, Australia ,16,8.3
eac4be97-3267-441d-9da0-e4ef2569df21,e628e600-2b76-11b2-8080-808080808080,354,,, Breakfast line was chaotic guests paying for a continental breakfast 12 also had free access to the full English buffet 23 no waitress service even for coffee refills No so good for disabled people ,36, Rooms excellent very theatrical Public areas spotless DRY bar welcoming ,12, United Kingdom ,1,8.5
eac4be97-3267-441d-9da0-e4ef2569df21,210c5f00-2b58-11b2-8080-808080808080,354,,,No Negative,0, Bed was very comfortable,5, United Kingdom ,1,8.3
eac4be97-3267-441d-9da0-e4ef2569df21,b2975700-2b52-11b2-8080-808080808080,354,,, we only stayed overnight and cannot think of anything we did not like,14, the beautiful decor and the beds were extremely comfortable,10, United Kingdom ,1,10.0
eac4be97-3267-441d-9da0-e4ef2569df21,07aee700-2b47-11b2-8080-808080808080,354,,, Charged twice for a stay of one night very disappointed with booking com service ,16,No Positive,0, Ireland ,3,5.0
eac4be97-3267-441d-9da0-e4ef2569df21,da447e00-2b29-11b2-8080-808080808080,354,,, Nothing bad to say had a great stay thankyou,10, Hotel and staff first class staff were so helpful and very friendley,13, United Kingdom ,1,9.6
eac4be97-3267-441d-9da0-e4ef2569df21,03524e00-2b23-11b2-8080-808080808080,354,,, Had buffet dinner on the Friday night and was having to wait for food Chicken had to be served but no staff were about to do it then no potatoes or chips ready to have with meat Overall quite disappointed and thought breakfast was going to be an ordeal But in the morning there was plenty of staff running around attending to the multiple choices Much more impressed But all in all we did enjoy our stay ,79, Location was good staff very friendly Foyer very very impressive Breakfast plenty choice and tasty Beds large and comfy ,21, United Kingdom ,7,8.3
eac4be97-3267-441d-9da0-e4ef2569df21,839cff00-2b10-11b2-8080-808080808080,354,,, Uncomfy chairs meant I avoided eating at hotel they were designed for appearance not people over 50 ,19, Good gym hotel was helpful in letting me drop off luggage long before checkin time I could get the news on the TV in french and in spanish great ,31, United Kingdom ,4,9.6
eac4be97-3267-441d-9da0-e4ef2569df21,3541f700-2afe-11b2-8080-808080808080,354,,, Restaurant ambient temperature was a little bit too cold during breakfast in one of the two days of my stay ,22, Excellent and comfortable bed king size Very good breakfast buffet Plenty of choices well prepared and organized Very helpful and friendly staff,23, Spain ,14,9.2
85dccf52-b681-43b7-9f18-8c0a977887da,50240600-2b79-11b2-8080-808080808080,428,,,No Negative,0, Really comfy beds and pillows Great views from room 638 Friendly staff Close to the Eiffel Tower,18, United Kingdom ,1,10.0
85dccf52-b681-43b7-9f18-8c0a977887da,1b267600-2b78-11b2-8080-808080808080,428,,, Shower design allowed water to spill on to the bathroom floor and puddle up Housekeeping was inconsistent Staff member on the morning of 6 19 gave me incorrect directions to 2 different places Rooms service was very inconsistent The first time we ordered it was spectacular and quick The second time similar item ordered it was like a completely different meal not as good and slow Missing side items condiments butter When we requested these items it took a real long time to get them The first order good day the server accidentally dropped a roll He ran out to get a new one I don t know how he got back so fast but it was less than 2 minutes He left the old roll so I know it was a different one Balcony is small but big enough for a chair or 2 would have been nice ,151, Bed was comfortable the view was as promised most of the staff was friendly and knowledgeable AC worked well which was especially important during the major heatwave that hit when we were there 99 40 degrees 60 humidity Lot s of other tourists were complaining about sleepless nights at other hotels with no AC I d give the AC an American 8 10 and a European 10 10 They also have ice machines on every other floor that actually make ice Ice machines are American 7 10 but 10 10 for Europe ,94, United States of America ,1,8.8
85dccf52-b681-43b7-9f18-8c0a977887da,a8378600-2b6f-11b2-8080-808080808080,428,,, I had no electricity two times in 12 hours Each time it took the reception 2 hours to send a technician to just switch the button back on I had no battery charge on my mobile Hotel s phone was not working without electricity So i had to go up and down for many times ,57, Location and furniture ,5, United Kingdom ,4,7.1
85dccf52-b681-43b7-9f18-8c0a977887da,3cbe6e00-2b6c-11b2-8080-808080808080,428,,,No Negative,0, The staff the location the view of the tower and the whole hotel is amazing We spent one of the best days of our lives there Thank You for everything ,32, Hungary ,4,10.0
